Rank,Name,Platform,release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,controller_support,new_rating,new_rating_source
6412,Cloudy With a Chance of Meatballs,ds,2009,Platform,Ubisoft,0.2,0.01,0,0.02,0.22,,7,PEGI
6413,MotoGP 08,ps2,2008,Racing,Capcom,0.01,0,0,0.21,0.22,,3,PEGI
6414,Madden NFL 12,psp,2011,Sports,Electronic Arts,0.21,0,0,0.02,0.22,,,
6415,Sengoku Basara 3 Utage,ps3,2011,Action,Capcom,0,0,0.22,0,0.22,,,
6416,Breath of Fire,gba,2001,Role-Playing,Ubisoft,0.11,0.04,0.06,0,0.22,,3,manual
6417,Gundam Battle Chronicle,psp,2007,Action,Namco Bandai Games,0,0,0.22,0,0.22,,,
6418,Marvel Super Hero Squad: The Infinity Gauntlet,ds,2010,Action,THQ,0.17,0.03,0,0.02,0.22,,7,PEGI
6419,Ys Seven,psp,2009,Role-Playing,Falcom Corporation,0.14,0,0.08,0.01,0.22,,12,PEGI
6420,Sword Art Online: Infinity Moment,psp,2013,Role-Playing,Namco Bandai Games,0,0,0.22,0,0.22,,,
6421,Haunted House,2600,1982,,,,,,,0.22,,3,pre-1994
6422,Legion: The Legend of Excalibur,ps2,2002,Action,Midway Games,0.11,0.09,0,0.03,0.22,,,
6423,FaceBreaker K.O. Party,wii,2008,Fighting,Electronic Arts,0.2,0.01,0,0.02,0.22,FALSE,12,PEGI
6424,Justice League Heroes,psp,2006,Role-Playing,Eidos Interactive,0.2,0.01,0,0.02,0.22,,12,PEGI
6425,TNA iMPACT!,ps2,2008,Fighting,Midway Games,0.1,0,0,0.12,0.22,,,
6426,Yu-Gi-Oh! GX: Spirit Caller (American Sales),ds,2006,Misc,Konami Digital Entertainment,0.18,0.03,0,0.02,0.22,,3,PEGI
6427,Def Jam: Fight for NY,gc,2004,Fighting,Electronic Arts,0.17,0.05,0,0.01,0.22,,18,PEGI
6428,Spartan: Total Warrior,ps2,2005,Action,Sega,0.11,0.09,0,0.03,0.22,,18,PEGI
6429,Reactor,2600,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22,,3,pre-1994
6430,Killer is Dead,ps3,2013,Action,Deep Silver,0.12,0.04,0.05,0.02,0.22,,18,PEGI
6431,EX Monopoly,gba,2001,Misc,Takara,0.16,0.06,0,0,0.22,,3,manual
6432,64 de Hakken! Tamagotchi Minna de Tamagotchi World,n64,1997,Misc,Namco Bandai Games,0,0,0.22,0,0.22,,13,GiantBomb (ESRB)
6433,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,gc,2003,Misc,Acclaim Entertainment,0.17,0.04,0,0.01,0.22,,,
6434,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22,,3,pre-1994
6435,Assault,2600,1982,Action,Bomb,0.21,0.01,0,0,0.22,,3,pre-1994
6436,Ragnarok DS,ds,2008,Role-Playing,GungHo,0.1,0,0.11,0.01,0.22,,,
6437,Ford vs. Chevy,ps2,2005,Racing,Global Star,0.11,0.09,0,0.03,0.22,,3,PEGI
6438,Hamtaro: Ham-Ham Games,gba,2004,Sports,Nintendo,0.16,0.06,0,0,0.22,,3,PEGI
6439,Dino Stalker,ps2,2002,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,,,
6440,Shinobi,3ds,2011,Platform,Sega,0.14,0.07,0,0.02,0.22,,16,PEGI
6441,Puss in Boots,wii,2011,Action,THQ,0.19,0.01,0,0.01,0.22,FALSE,12,PEGI
6442,Tony Hawk's Downhill Jam,ds,2006,Sports,Activision,0.2,0,0,0.02,0.22,,3,PEGI
6443,Mega Man Zero 3,gba,2004,Platform,Capcom,0.16,0.06,0,0,0.22,,3,manual
6444,Hitman: HD Trilogy,ps3,2013,Action,Square Enix,0.07,0.1,0,0.04,0.22,,18,PEGI
6445,Aliens vs Predator: Requiem,psp,2007,Action,Vivendi Games,0.03,0.12,0,0.07,0.22,,,
6446,Castlevania: Lords of Shadow 2,ps3,2014,Action,Konami Digital Entertainment,0.03,0.13,0.02,0.04,0.22,,18,PEGI
6447,Barbie: Groom and Glam Pups,wii,2010,Action,THQ,0.19,0.02,0,0.01,0.22,FALSE,3,PEGI
6448,KORG DS-10 Synthesizer,ds,2008,Misc,AQ Interactive,0.2,0.01,0,0.02,0.22,,3,PEGI
6449,Tenchu: Shadow Assassins,wii,2008,Action,Ubisoft,0.16,0.01,0.03,0.02,0.22,FALSE,16,PEGI
6450,Barbie Super Sports,ps,1999,Sports,Mattel Interactive,0.12,0.08,0,0.01,0.22,,,
6451,CSI: Fatal Conspiracy,wii,2010,Adventure,Ubisoft,0.12,0.08,0,0.02,0.22,FALSE,,
6452,Nicktoons Collection: Game Boy Advance Video Volume 2,gba,2004,Misc,,0.16,0.06,0,0,0.22,,3,manual
6453,Jackass the Game,psp,2007,Action,Empire Interactive,0.09,0.08,0,0.05,0.22,,18,PEGI
6454,The Legend of Heroes: Trails of Cold Steel,ps3,2013,Role-Playing,Nippon Ichi Software,0.05,0.04,0.12,0.02,0.22,,12,PEGI
6455,Mobile Suit Gundam Seed,ps2,2003,Action,Namco Bandai Games,0,0,0.22,0,0.22,,,
6456,Rapala's Fishing Frenzy,wii,2008,Sports,Activision,0.2,0,0,0.02,0.22,FALSE,,
6457,Atelier Escha & Logy: Alchemists of the Dusk Sky,ps3,2013,Role-Playing,Tecmo Koei,0.06,0.04,0.1,0.02,0.22,,12,PEGI
6458,Hidden Mysteries: Buckingham Palace,ds,2010,Puzzle,Avanquest,0.13,0.07,0,0.02,0.22,,3,PEGI
6459,Danny Phantom: The Ultimate Enemy,gba,2005,Action,THQ,0.16,0.06,0,0,0.22,,7,PEGI
6460,Petz Rescue: Endangered Paradise,ds,2008,Adventure,Ubisoft,0.21,0,0,0.02,0.22,,,
6461,MotoGP 09/10,ps3,2010,Racing,Capcom,0.05,0.13,0,0.04,0.22,,3,PEGI
6462,Rune Factory: Tides of Destiny,ps3,2011,Role-Playing,Marvelous Interactive,0.14,0,0.07,0.01,0.22,,,
6463,A Boy and His Blob,wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02,0.22,TRUE,7,PEGI
6464,Move Fitness,ps3,,Sports,Sony Computer Entertainment,0,0.17,0,0.05,0.22,,12,PEGI
6465,Petz: Horse Club,wii,2008,Misc,Ubisoft,0.2,0,0,0.02,0.22,FALSE,,
6466,OutRun,gen,1991,,,,,,,0.22,,3,PEGI
6467,Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0,0,0.22,,3,pre-1994
6468,Dungeon Hunter Alliance,psv,2012,Action,Ubisoft,0.09,0.1,0,0.04,0.22,,16,PEGI
6469,Super Adventure Island,snes,1992,Platform,Hudson Soft,0,0,0.22,0,0.22,,3,pre-1994
6470,Bust-A-Move 4,ps,1998,Puzzle,Acclaim Entertainment,0.12,0.08,0,0.01,0.22,,,
6471,The Legend of Spyro: The Eternal Night,wii,2007,Platform,Vivendi Games,0.18,0.02,0,0.02,0.22,TRUE,7,PEGI
6472,NFL Quarterback Club 97,ps,1996,Sports,Acclaim Entertainment,0.12,0.08,0,0.01,0.22,,,
6473,Rampage: Total Destruction,wii,2006,Action,Midway Games,0.19,0.01,0,0.02,0.22,FALSE,12,PEGI
6474,Galactic Wrestling: Featuring Ultimate Muscle,ps2,2004,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,,,
6475,Road Rash,3do,1994,,,,,,,0.213,,3,ESRB
6476,Major League Baseball,intellivision,1980,,,,,,,0.213,,3,pre-1994
6477,Zaxxon,colecovision,1982,,,,,,,0.213,,3,pre-1994
6478,Dragon Ball Z: Sagas,gc,2005,Fighting,Atari,0.16,0.04,0,0.01,0.21,,,
6479,The King of Fighters '96,sat,1996,Fighting,SNK,0,0,0.21,0,0.21,,12,ESRB
6480,WRC: FIA World Rally Championship,ps3,,Racing,Black Bean Games,0,0.15,0.01,0.05,0.21,,12,PEGI
6481,Angel Blade: Neo Tokyo Guardians,ps,1997,Role-Playing,On Demand,0.12,0.08,0,0.01,0.21,,,
6482,Threads of Fate,ps,1999,Role-Playing,SquareSoft,0.12,0.08,0,0.01,0.21,,,
6483,PoPoLoCrois Monogatari II,ps,2000,Role-Playing,Sony Computer Entertainment,0,0,0.2,0.01,0.21,,,
6484,Famicom Mini: Ganbare Goemon! Karakuri Douchuu,gba,2004,Platform,Konami Digital Entertainment,0,0,0.2,0.01,0.21,,3,manual
6485,Deus Ex: The Conspiracy,ps2,2002,Action,Eidos Interactive,0.1,0.08,0,0.03,0.21,,,
6486,Unreal II: The Awakening,xb,2004,Shooter,Atari,0.17,0.04,0,0.01,0.21,,16,PEGI
6487,Rumble Racing,ps2,2001,Racing,Electronic Arts,0.1,0.08,0,0.03,0.21,,,
6488,Spider-Man: Web of Shadows,ps2,2008,Action,Activision,0.1,0.08,0,0.03,0.21,,,
6489,Disgaea D2: A Brighter Darkness,ps3,2013,Role-Playing,Nippon Ichi Software,0.09,0,0.1,0.01,0.21,,12,PEGI
6490,Batman Begins,xb,2005,Action,Electronic Arts,0.16,0.04,0,0.01,0.21,,16,PEGI
6491,Just Dance: Greatest Hits,wii,2012,Misc,Ubisoft,0.15,0.04,0,0.02,0.21,FALSE,,
6492,J-League Winning Eleven 10 + Europa League 06-07,ps2,2006,Sports,Konami Digital Entertainment,0,0,0.21,0,0.21,,,
6493,Shrek: Reekin' Havoc,gba,2003,Platform,TDK Mediactive,0.15,0.06,0,0,0.21,,3,PEGI
6494,Solatorobo: Red the Hunter,ds,2010,Role-Playing,Nintendo,0.08,0.04,0.07,0.01,0.21,,7,PEGI
6495,Tales of Phantasia: Narikiri Dungeon X,psp,2010,Role-Playing,Namco Bandai Games,0,0,0.21,0,0.21,,,
6496,JSRF: Jet Set Radio Future,xb,2002,Action,Sega,0.13,0.04,0.03,0.01,0.21,,,
6497,NHL Hitz 20-02,gc,2001,Sports,Midway Games,0.16,0.04,0,0.01,0.21,,,
6498,The Last Airbender,wii,2010,Action,THQ,0.12,0.07,0,0.02,0.21,FALSE,12,PEGI
6499,Bionicle,gc,2003,Action,Electronic Arts,0.16,0.04,0,0.01,0.21,,7,PEGI
6500,Need for Speed Carbon: Own the City,ds,2006,Racing,Electronic Arts,0.17,0.02,0,0.02,0.21,,7,PEGI
6501,The Fairly OddParents: Breakin' Da Rules,gc,2003,Platform,THQ,0.16,0.04,0,0.01,0.21,,,
6502,Namco Museum Megamix,wii,2010,Misc,Namco Bandai Games,0.2,0,0,0.01,0.21,TRUE,,
6503,Wedding Dash,ds,2009,Action,Zoo Games,0.2,0,0,0.01,0.21,,,
6504,Hot Shots Tennis: Get a Grip,psp,2010,Sports,Sony Computer Entertainment,0.06,0,0.13,0.01,0.21,,,
6505,Summoner 2,ps2,2002,Role-Playing,THQ,0.1,0.08,0,0.03,0.21,,16,PEGI
6506,The Land Before Time: Big Water Adventure,ps,2002,Platform,TDK Mediactive,0.12,0.08,0,0.01,0.21,,,
6507,Shadow of Destiny,ps2,2001,Adventure,Konami Digital Entertainment,0.09,0.07,0.03,0.02,0.21,,,
6508,Valkyria Chronicles III: Unrecorded Chronicles,psp,,Strategy,Sega,0,0,0.21,0,0.21,,,
6509,Cabela's Deer Hunt: 2004 Season,xb,2003,Sports,Activision Value,0.16,0.05,0,0.01,0.21,,,
6510,Disney's Planes,wiiu,2013,Simulation,Disney Interactive Studios,0.15,0.04,0,0.02,0.21,,3,ESRB
6511,Brunswick Pro Bowling,psp,2007,Sports,505 Games,0.19,0,0,0.02,0.21,,,
6512,World Series of Poker,psp,2005,Misc,Activision,0.19,0,0,0.02,0.21,,18,PEGI
6513,ClayFighter 63 1/3,n64,1997,Fighting,Interplay,0.17,0.04,0,0,0.21,,,RAWG (ESRB)
6514,Monopoly,n64,1999,Misc,Hasbro Interactive,0.17,0.04,0,0,0.21,,3,GiantBomb (ESRB)
6515,WCW Nitro,n64,1998,Fighting,THQ,0.17,0.04,0,0,0.21,,12,GiantBomb (PEGI)
6516,Cruis'n Exotica,n64,2000,Racing,Midway Games,0.17,0.04,0,0,0.21,,,RAWG (ESRB)
6517,Gex 3: Deep Cover Gecko,n64,1999,Platform,Crave Entertainment,0.17,0.04,0,0,0.21,,3,ESRB
6518,WinBack: Covert Operations,n64,1999,Shooter,Virgin Interactive,0.17,0.04,0,0,0.21,,,RAWG (ESRB)
6519,Heroes of Ruin,3ds,2012,Role-Playing,Nintendo,0.13,0.07,0,0.02,0.21,,12,PEGI
6520,Bastard!! Utsuro Naru Kamigami no Utsuwa,ps,1996,Role-Playing,Seta Corporation,0,0,0.2,0.01,0.21,,,
6521,NCAA Football 2003,gc,2002,Sports,Electronic Arts,0.16,0.04,0,0.01,0.21,,,
6522,Power Rangers: Wild Force,gba,2002,Action,THQ,0.15,0.05,0,0,0.21,,3,manual
6523,Rollcage,ps,1999,Racing,Psygnosis,0.12,0.08,0,0.01,0.21,,,
6524,Pro Yaky? Spirits 2010,ps3,2010,Sports,Konami Digital Entertainment,0,0,0.21,0,0.21,,,
6525,X2: Wolverine's Revenge,xb,2003,Platform,Activision,0.15,0.04,0,0.01,0.21,,,
6526,The Naked Brothers Band: The Video Game,wii,2008,Misc,THQ,0.19,0,0,0.01,0.21,FALSE,,
6527,Final Fight One,gba,2001,Fighting,Ubisoft,0.09,0.03,0.08,0,0.21,,3,manual
6528,Rune Factory: Tides of Destiny,wii,2011,Role-Playing,Marvelous Interactive,0.14,0,0.06,0.01,0.21,FALSE,,
6529,The Amazing Spider-Man (Console Version),ds,2012,Action,Activision,0.15,0.04,0,0.01,0.21,,12,PEGI
6530,NCAA Football 10,psp,2009,Sports,Electronic Arts,0.19,0,0,0.02,0.21,,,
6531,Gallop Racer 2003: A New Breed,ps2,2002,Sports,Zoo Digital Publishing,0.04,0.03,0.12,0.01,0.21,,,
6532,Dawn of Discovery,wii,2009,Simulation,Ubisoft,0.13,0.06,0,0.02,0.21,FALSE,,
6533,BeyBlade VForce: Super Tournament Battle,gc,2002,Action,Atari,0.16,0.04,0,0.01,0.21,,,
6534,Outlaw Golf 2,xb,2004,Sports,Global Star,0.15,0.04,0,0.01,0.21,,16,PEGI
6535,Little Battlers eXperience: Baku Boost,3ds,2012,Action,Nintendo,0,0,0.21,0,0.21,,,
6536,Anarchy Reigns,ps3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.21,,16,PEGI
6537,Jikkyou Powerful Pro Yakyuu 2012,ps3,2012,Action,Konami Digital Entertainment,0,0,0.21,0,0.21,,,
6538,Front Mission 5: Scars of the War,ps2,2005,Strategy,Square Enix,0,0,0.21,0,0.21,,,
6539,J-League Pro Soccer Club o Tsukurou! 7 Euro Plus,psp,2011,Sports,Sega,0,0,0.21,0,0.21,,,
6540,LEGO Ninjago: Shadow of Ronin,3ds,2015,Action,Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.21,,7,PEGI
6541,Kung Fu Rider,ps3,2010,Action,Sony Computer Entertainment,0.06,0.1,0.01,0.04,0.21,,16,PEGI
6542,Bugs Bunny & Taz: Time Busters,ps,2000,Adventure,Infogrames,0.11,0.08,0,0.01,0.21,,,
6543,SpongeBob SquarePants: Game Boy Advance Video Volume 3,gba,2004,Misc,,0.15,0.05,0,0,0.21,,3,manual
6544,Heisei Kyouiku linkai DS,ds,2006,Misc,Namco Bandai Games,0,0,0.21,0,0.21,,,
6545,NHL 2K3,ps2,2002,Sports,Sega,0.1,0.08,0,0.03,0.21,,,
6546,I Spy: Castle,ds,2011,Puzzle,Scholastic Inc.,0.19,0,0,0.01,0.21,,,
6547,ESPN Winter X Games: Snowboarding 2002,ps2,2000,Sports,Konami Digital Entertainment,0.1,0.08,0,0.03,0.21,,,
6548,Project: Snowblind,ps2,2005,Action,Eidos Interactive,0.1,0.08,0,0.03,0.21,,16,PEGI
6549,Tony Hawk's Motion,ds,2008,Sports,Activision,0.19,0,0,0.02,0.21,,3,PEGI
6550,Super Robot Taisen K,ds,2009,Strategy,Namco Bandai Games,0,0,0.21,0,0.21,,,
6551,Mortal Kombat: Special Forces,ps,2000,Fighting,Midway Games,0.12,0.08,0,0.01,0.21,,,
6552,LEGO The Hobbit,psv,2014,Action,Warner Bros. Interactive Entertainment,0.03,0.13,0,0.05,0.21,,7,PEGI
6553,Rayman Legends,psv,2014,Platform,Ubisoft,0.03,0.12,0,0.05,0.21,,7,PEGI
6554,Dragon Ball Z: Harukanaru Densetsu,ds,2007,Role-Playing,Namco Bandai Games,0.19,0,0,0.02,0.21,,,
6555,Wacky Races: Crash & Dash,ds,2008,Racing,Eidos Interactive,0.19,0,0,0.01,0.21,,3,PEGI
6556,Shin Megami Tensei: Persona 3 (jp sales),ps2,2006,Role-Playing,Tecmo Koei,0,0,0.21,0,0.21,,,
6557,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,ps,1998,Adventure,Sony Computer Entertainment,0,0,0.19,0.01,0.21,,,
6558,Evil Dead: Regeneration,ps2,2005,Action,THQ,0.1,0.08,0,0.03,0.21,,18,PEGI
6559,NHL 2003,xb,2002,Sports,Electronic Arts,0.15,0.04,0,0.01,0.21,,3,PEGI
6560,Marvel Super Hero Squad: Comic Combat,ps3,2011,Action,THQ,0.11,0.07,0,0.03,0.21,,12,PEGI
6561,X-Men: Children of the Atom,sat,1995,Fighting,Acclaim Entertainment,0,0,0.21,0,0.21,,3,PEGI
6562,Barbie Fashion Show: An Eye for Style,ds,2008,Misc,Activision,0.19,0,0,0.02,0.21,,3,PEGI
6563,Tiger Woods PGA Tour,psp,2005,Sports,Electronic Arts,0.19,0,0,0.02,0.21,,3,PEGI
6564,Maximo vs Army of Zin,ps2,2003,Platform,Capcom,0.1,0.08,0,0.03,0.21,,12,PEGI
6565,Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,ds,2011,Strategy,Konami Digital Entertainment,0.1,0.03,0.07,0.01,0.21,,7,PEGI
6566,Robotech: The Macross Saga,gba,2002,Shooter,TDK Mediactive,0.15,0.06,0,0,0.21,,3,manual
6567,Dorabase DS: Dramatic Stadium,ds,2007,Sports,Namco Bandai Games,0,0,0.21,0,0.21,,,
6568,Disaster Report,ps2,2002,Action,Agetec,0.03,0.02,0.15,0.01,0.21,,,
6569,EVE: burst error,sat,1997,Adventure,Imagineer,0,0,0.21,0,0.21,,18,manual
6570,We Sing Robbie Williams,wii,2010,Misc,Nordic Games,0,0.19,0,0.03,0.21,FALSE,12,PEGI
6571,Backyard NFL Football '09,wii,2008,Sports,Atari,0.2,0,0,0.02,0.21,FALSE,,
6572,Pro Evolution Soccer 2012,wii,2011,Action,Konami Digital Entertainment,0.08,0.08,0.03,0.02,0.21,TRUE,,
6573,Akiba's Trip: Undead & Undressed,psv,2013,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03,0.21,,16,PEGI
6574,Speed Racer: The Videogame,ps2,2008,Racing,Warner Bros. Interactive Entertainment,0.1,0.08,0,0.03,0.21,,,
6575,Bratz: Forever Diamondz,gc,2006,Adventure,THQ,0.17,0.04,0,0.01,0.21,,3,PEGI
6576,WCW Backstage Assault,ps,1999,Action,Electronic Arts,0.12,0.08,0,0.01,0.21,,,
6577,UFC Undisputed 2010,psp,2010,Fighting,THQ,0.11,0.07,0,0.04,0.21,,16,PEGI
6578,Baja: Edge of Control,ps3,2008,Racing,THQ,0.1,0.08,0,0.04,0.21,,,
6579,Wild Wild Racing,ps2,2000,Racing,Interplay,0.1,0.08,0,0.03,0.21,,,
6580,Magician's Quest: Town of Magic,3ds,2012,Simulation,Konami Digital Entertainment,0,0,0.21,0,0.21,,,
6581,The Bard's Tale,ps2,2004,Role-Playing,Ubisoft,0.1,0.08,0,0.03,0.21,,12,PEGI
6582,Prince of Persia: Revelations,psp,2005,Adventure,Ubisoft,0.18,0.01,0,0.02,0.21,,16,PEGI
6583,Final Fantasy Fables: Chocobo's Dungeon,wii,2007,Role-Playing,Square Enix,0.09,0,0.11,0.01,0.21,TRUE,7,PEGI
6584,Transformers: Dark of the Moon,3ds,2011,Action,Activision,0.16,0.04,0,0.02,0.21,,,
6585,The Legend of Heroes: Trails in the Sky First Chapter,psp,2006,Role-Playing,Ghostlight,0.1,0.03,0.06,0.03,0.21,,,
6586,Initial D Arcade Stage,mame,2002,,,,,,,0.21,,3,manual
6587,Double Dragon II: The Revenge,nes,1989,,,,,,,0.21,,3,pre-1994
6588,Atlantis,2600,1982,,,,,,,0.21,,3,pre-1994
6589,NBA in the Zone 2000,ps,2000,Sports,Konami Digital Entertainment,0.12,0.08,0,0.01,0.21,,,
6590,Dark Summit,ps2,2001,Sports,THQ,0.11,0.08,0,0.03,0.21,,,
6591,Afrika,ps3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.21,,,
6592,Cabela's Big Game Hunter: Ultimate Challenge,ps,2001,Sports,Activision Value,0.12,0.08,0,0.01,0.21,,,
6593,Are You Smarter Than a 5th Grader? Back to School,wii,2010,Misc,Nintendo,0.2,0,0,0.02,0.21,FALSE,,
6594,Pro Yakyuu Greatest Nine '97,sat,1997,Sports,Sega,0,0,0.21,0,0.21,,3,manual
6595,Steins;Gate,psv,2013,Adventure,PQube,0.07,0.09,0,0.05,0.21,,16,PEGI
6596,The Dukes of Hazzard: Return of the General Lee,ps2,2004,Racing,Ubisoft,0.11,0.08,0,0.03,0.21,,12,PEGI
6597,Pandemonium!,ps,1996,Platform,BMG Interactive Entertainment,0.12,0.08,0,0.01,0.21,,,
6598,SingStar: Back to the 80s,ps3,2011,Misc,Sony Computer Entertainment,0,0.16,0,0.05,0.21,,7,PEGI
6599,Namco Museum: 50th Anniversary,gc,2005,Misc,Namco Bandai Games,0.17,0.04,0,0.01,0.21,,,
6600,Crash 'N' Burn,ps2,2004,Racing,Eidos Interactive,0.11,0.08,0,0.03,0.21,,3,PEGI
6601,NBA,psp,2005,Sports,Sony Computer Entertainment,0.2,0,0,0.02,0.21,,,
6602,Teenage Mutant Ninja Turtles: Smash-Up,ps2,2009,Fighting,Ubisoft,0.11,0.08,0,0.03,0.21,,12,PEGI
6603,Momotarou Dentetsu 16,ps2,2006,Misc,Hudson Soft,0,0,0.21,0,0.21,,,
6604,Lunar: Silver Star Story Complete,sat,1997,Role-Playing,Kadokawa Shoten,0,0,0.21,0,0.21,,12,ESRB
6605,Yu Yu Hakusho: Dark Tournament,ps2,,Fighting,,0.1,0.08,0,0.03,0.21,,,
6606,Darkwatch,xb,2005,Shooter,Ubisoft,0.16,0.05,0,0.01,0.21,,18,PEGI
6607,G.I. Joe: The Rise of Cobra,ps3,2009,Action,Electronic Arts,0.11,0.07,0,0.03,0.21,,,
6608,Viewtiful Joe 2,ps2,2004,Action,Capcom,0.1,0.08,0,0.03,0.21,,12,PEGI
6609,Quake III: Revolution,ps2,2001,Shooter,Electronic Arts,0.1,0.08,0,0.03,0.21,,,
6610,Pac-Man World 3,ps2,2005,Platform,Namco Bandai Games,0.1,0.08,0,0.03,0.21,,3,PEGI
6611,Naruto: Clash of Ninja (JP sales),gc,2003,Fighting,Tomy Corporation,0,0,0.21,0.01,0.21,,,
6612,Robotech: Battlecry,xb,,Shooter,Unknown,0.16,0.05,0,0.01,0.21,,,
6613,NOëL: NOT DiGITAL,ps,1996,Adventure,Pioneer LDC,0,0,0.2,0.01,0.21,,,
6614,Dragon Ball Z Hyper Dimension,snes,1995,Fighting,Namco Bandai Games,0,0,0.21,0,0.21,,3,manual
6615,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,wii,2009,Adventure,GSP,0.12,0.07,0,0.02,0.21,FALSE,,
6616,Senran Kagura 2: Deep Crimson,3ds,2014,Action,Marvelous Entertainment,0.09,0.03,0.08,0.01,0.21,,16,PEGI
6617,Marvel Super Hero Squad,psp,2009,Fighting,THQ,0.17,0.02,0,0.02,0.21,,7,PEGI
6618,The Chronicles of Narnia: Prince Caspian,ds,2008,Action,Disney Interactive Studios,0.19,0.01,0,0.02,0.21,,,
6619,Champion Jockey: G1 Jockey & Gallop Racer,ps3,2011,Sports,Tecmo Koei,0.06,0.05,0.08,0.02,0.21,,3,PEGI
6620,HBO Boxing,ps,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21,,,
6621,Cabela's Survival: Shadows of Katmai,wii,2011,Sports,Activision,0.15,0.05,0,0.02,0.21,FALSE,16,PEGI
6622,Yoga Wii,wii,2009,Sports,JoWood Productions,0.15,0.05,0,0.02,0.21,FALSE,,
6623,Now! That's What I Call Music: Dance & Sing,wii,2011,Misc,Unknown,0,0.18,0,0.04,0.21,FALSE,12,PEGI
6624,RealSports Baseball,2600,1981,Sports,Atari,0.2,0.01,0,0,0.21,,3,pre-1994
6625,Bratz: Girlz Really Rock,wii,2008,Action,THQ,0.19,0,0,0.02,0.21,FALSE,,
6626,Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,ps3,2010,Action,Namco Bandai Games,0,0,0.21,0,0.21,,,
6627,Conflict Zone,ps2,2002,Strategy,Ubisoft,0.1,0.08,0,0.03,0.21,,,
6628,Tony Hawk's American Sk8land,ds,2005,Sports,Activision,0.19,0.01,0,0.02,0.21,,3,PEGI
6629,de Blob 2,ps3,2011,Platform,THQ,0.11,0.07,0,0.03,0.21,,7,PEGI
6630,BloodRayne,xb,2002,Shooter,Universal Interactive,0.16,0.05,0,0.01,0.21,,,
6631,Breakaway IV,2600,,Puzzle,Sears,0.2,0.01,0,0,0.21,,,
6632,NHL 2K6,xb,2005,Sports,Take-Two Interactive,0.16,0.05,0,0.01,0.21,,16,PEGI
6633,Tenchu: Return From Darkness,xb,2004,Action,Activision,0.16,0.05,0,0.01,0.21,,16,PEGI
6634,World Poker Tour,ps2,2005,Misc,Take-Two Interactive,0.1,0.08,0,0.03,0.21,,18,PEGI
6635,Neo Contra,ps2,2004,Shooter,Konami Digital Entertainment,0.1,0.08,0,0.03,0.21,,12,PEGI
6636,MVP Baseball,psp,2005,Sports,Electronic Arts,0.2,0,0,0.02,0.21,,,
6637,GRID Autosport,ps3,2014,Racing,Codemasters,0.05,0.11,0.01,0.04,0.21,,3,PEGI
6638,Ghostbusters II,2600,,Action,Activision,0.2,0.01,0,0,0.21,,,
6639,MTV Celebrity Deathmatch,xb,2003,Fighting,Gotham Games,0.16,0.05,0,0.01,0.21,,,
6640,Metal Slug: 1st Mission,ngp,1999,,,,,,,0.209,,3,manual
6641,Sonic the Hedgehog 2,gg,1992,,,,,,,0.209,,7,ESRB
6642,Bonk's Revenge,tg16,1991,,,,,,,0.209,,3,pre-1994
6643,Missile Command,atari5200,1982,,,,,,,0.209,,3,pre-1994
6644,Ms. Pac-Man,atari7800,1984,,,,,,,0.209,,3,pre-1994
6645,Dungeon Master,atarist,1987,,,,,,,0.208,,3,pre-1994
6646,SD Gundam GNext,snes,1995,Strategy,Namco Bandai Games,0,0,0.2,0,0.2,,3,manual
6647,Backyard NFL Football 2006,ps2,2005,Sports,Atari,0.1,0.08,0,0.03,0.2,,,
6648,NASCAR Heat 2002,xb,2001,Racing,Infogrames,0.15,0.04,0,0.01,0.2,,,
6649,Planet 51,wii,2009,Action,Sega,0.17,0.02,0,0.02,0.2,FALSE,,
6650,Sloane to MacHale no Nazo no Monogatari,ds,2009,Puzzle,Level 5,0,0,0.2,0,0.2,,,
6651,My Fitness Coach 2: Exercise and Nutrition,wii,2009,Sports,Black Bean Games,0.14,0.04,0,0.02,0.2,FALSE,,
6652,Buzz! The Schools Quiz,ps2,2008,Misc,Sony Computer Entertainment,0,0.02,0,0.19,0.2,,3,PEGI
6653,Suikoden Tactics,ps2,2005,Strategy,Konami Digital Entertainment,0.06,0.05,0.07,0.02,0.2,,12,PEGI
6654,Capcom Fighting Evolution,ps2,2004,Fighting,Capcom,0.1,0.08,0,0.03,0.2,,,
